Audio Path,Reference,Prediction
common_voice_en_41383256.mp3,The outer rim has undergone some erosion due to subsequent impacts.,The outer rim has undergone some erosion due to subsequent impacts
common_voice_en_41823983.mp3,"For purposes of this definition, the intent may be conditional.",For the purposes of this definition the intent may be conditional
common_voice_en_41881685.mp3,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.",Bennett was educated at Lonswood High School Leeds and Hertford College Oxford
common_voice_en_41799514.mp3,These rules became known as Admiral-Lord Mountevans rules.,These sleuths became the horse Admirer Lord Mount Tivin's sleuth
common_voice_en_41552032.mp3,The grouping traditionally called apes is bracketed from the right.,The grouping traditionally called apes is bracketed from the right
common_voice_en_41827319.mp3,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women
common_voice_en_41526838.mp3,He also taught at the same university.,He also taught at the same university
common_voice_en_41435787.mp3,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan
common_voice_en_41633128.mp3,Bold denotes players currently active in international football.,Bold denotes players currently active in international football
common_voice_en_41586424.mp3,"At South Side, Greer was an all state selection in both football and track.",At Southside Greer was an all-state selection in both football and track
common_voice_en_41489529.mp3,Riley and Buffy pursue in his car.,riley and buffy pursue in his car
common_voice_en_41469700.mp3,The combined company was later renamed Kimball International.,The combined company was later renamed Kimball International
common_voice_en_41517336.mp3,It also features puzzles and platforming elements.,It also features puzzles and platforming elements
common_voice_en_41423014.mp3,It has three platforms.,It has three platforms
common_voice_en_41518962.mp3,"After graduation, she became the administrator of Western's French Immersion School.",After graduation she became the administrator of Western French Immersion School
common_voice_en_41592181.mp3,It airs in North America via Dish Network.,It airs in North America via Dish Network
common_voice_en_41532689.mp3,"Instead of signing artists, he makes one-time deals to release their songs as singles.",Instead of signing artists he makes one-time deals to release their songs as singles
common_voice_en_41503591.mp3,After this the town was rebuilt and simply referred to as 'Wells'.,After this the town was rebuilt and simply referred to as Wells
common_voice_en_41816931.mp3,That was enough for a conflict.,That was enough for a conflict
common_voice_en_41267069.mp3,"In Korea, carnations express admiration, love and gratitude.",In Korea the Kardashians express admiration love and gratitude
common_voice_en_41659267.mp3,Naval Academy in Annapolis.,Naval Academy in Annapolis
common_voice_en_41629760.mp3,"It also likes flower nectar, fruit and some seeds.",It also likes flower nectar fruit and some seeds
common_voice_en_41674821.mp3,"After graduation he served with the royal Prussian geological institute, making photographic surveys.",After graduation he served with the Royal Prussian Geological Institute making photographic surveys
common_voice_en_41577054.mp3,He worked as a builder and was later employed at Heathrow Airport.,He worked as a builder and was later employed at Heathrow airport
common_voice_en_41583225.mp3,It has also been proposed as a possible explanation for claims associated with stigmata.,It has also been proposed as a possible explanation for claims associated with stigmata
common_voice_en_41662681.mp3,He later attended the University of Maryland.,He later attended the University of Maryland
common_voice_en_41486401.mp3,Cuttings are slow to strike roots.,Cuttings are slow-to-strike routes
common_voice_en_41503529.mp3,The undergraduate program in theological studies provides an overall view of the Christian Mystery.,The undergraduate program in Theological Studies provides an overall view of the Christian mystery
common_voice_en_41678018.mp3,Balangiga can be reached through public utility vans and buses from Tacloban City.,Balanjiga can be reached through public utility vans and buses from Taklaban City
common_voice_en_41548292.mp3,The old comedy was awkward and poor in its versification.,the old comedy was awkward and poor in its versification
common_voice_en_41680077.mp3,"Considered a ""Shining Star"" of the Core Worlds.",Considered a shining star of the core worlds
common_voice_en_41798570.mp3,A win earns a two-year exemption for most events.,A win earns a two-year exemption for most events
common_voice_en_41295264.mp3,These may also be forgeries to conceal identities.,These may also be forgeries to conceal identities
common_voice_en_41645566.mp3,Moore lives in Toronto.,Moore lives in Toronto
common_voice_en_41284140.mp3,"In Lao, represents a doubled word.",In Lao represents a doubled world
common_voice_en_41550758.mp3,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film
common_voice_en_41543184.mp3,You just didn't bother saying 'this sucks' anymore.,You just didn't bother saying this sucks anymore
common_voice_en_41693119.mp3,"Its headquarters are in the town of Damaturu, the State capital.",Its headquarters are in the town of Demetru the state capital
common_voice_en_41796793.mp3,This is a hard one because I don't really believe in god,This is a hard one because I don't really believe in God
common_voice_en_41798305.mp3,The rank has a rather confusing history.,The rank has a rather confusing history
common_voice_en_41731588.mp3,He experienced weightlessness and saw the curvature of the Earth.,He experienced weightlessness and saw the curvature of the earth
common_voice_en_41735538.mp3,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs Cooney was refereed by Mills Lane
common_voice_en_41307772.mp3,It is a freeway for its entire length.,It is a freeway for its entire length
common_voice_en_41307806.mp3,This group became legendary in the dance world.,This group became legendary in the dance world
